id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
43480,The Invisible Embrace,['Max Corbacho'],spotify:track:7HmvAAAFeBEb5N2gyIrNmi,22,single,True,2019-02-08,['spotify:artist:0Qg8V53QwgXLDtN0xMUL5q'],['spotify:playlist:124JeQTJeajQFOXyxVpA2Q']
174977,Moi je n'oublie pas,['Dixon'],spotify:track:7tqgQGnlEVqdkj3tAtBw7Y,25,single,True,2022-12-15,['spotify:artist:44ga4npdjaqD4WGUt8oXXV'],['spotify:playlist:2sk8xNt1IHG9zOgf4mAf2r']
155558,Space Hopper,['Proxyon'],spotify:track:6oqLLDjlLfc8Xk6I32GHV0,13,album,True,1994-02-28,['spotify:artist:4AyNEJ8OM6hZPpMp0sig5h'],"['spotify:playlist:37i9dQZF1DX6eVMzZ9dfKv', 'spotify:playlist:2yBt10hu5uKp3IsjbQYky6']"
125883,Cut Up Us,['Overhang Party'],spotify:track:6GkmU5Sc26r6pP0UFv2vIh,0,album,True,2000,['spotify:artist:3lNjB5DvG8JrM78ZgrWegZ'],['spotify:playlist:7fORhvaT80PFmp7RB3WAiH']
164594,At last,['Alannah Hammer'],spotify:track:1lNdqczd0uKZcioivNQZBt,53,single,True,2019-11-22,['spotify:artist:2utndN6OrmNQKozhXYJ8Hn'],"['spotify:playlist:37i9dQZF1DWWvgjYSMUA0Z', 'spotify:playlist:37i9dQZF1DX0psQULQgJwx']"
135578,Get To This - Original Mix,['James Dexter'],spotify:track:6aMvGPfJs2hQhhyI0CcsLA,15,single,True,2016-01-29,['spotify:artist:7GwCNTWgIGOdOX5vXRsht4'],['spotify:playlist:0gfKIhgecJLd76cf5CYcjZ']
150416,Banga,['Ra Djan'],spotify:track:4NeXSwQmNkG6NQX8fgQf3c,0,album,True,2020-07-20,['spotify:artist:32bJipf7jPQKYTQ6hphjvG'],['spotify:playlist:1C1tFAZqeFgXJ34OG3yYJa']
211168,Lament,['Robohands'],spotify:track:6OxIEWUGenESgfvRgjSrGQ,0,album,True,2018-05-23,['spotify:artist:5qRtt9DQNy64ig66kCWFjX'],['spotify:playlist:0JwFxwCFJMdkEKZWhL621v']
96304,Get Off My Back,"['Bryan Adams', 'Hans Zimmer']",spotify:track:3d5m9pAfgKSqMsn3kX1J2P,53,album,True,2002-05-04,"['spotify:artist:3Z02hBLubJxuFJfhacLSDc', 'spotify:artist:0YC192cP3KPCRWx8zr8MfZ']","['spotify:playlist:2IUv2Po1Tzf6QiBbKkLz6z', 'spotify:playlist:2NGAlHMjAIfqdgHzcD3Gzr']"
102217,Rock This Party - Original,['Bob Sinclar'],spotify:track:5g6rWTgfQZ368TJbVZXF6n,0,single,True,2009-01-01,['spotify:artist:5YFS41yoX0YuFY39fq21oN'],['spotify:playlist:68mEzGLG9QEVR5SFp8uMNh']
66185,Guitar Man,['Jerry Reed'],spotify:track:2miE4JKvNNsRaDFvre019k,41,album,True,1967,['spotify:artist:3kvy8do7n0qVqvlNFS4yOF'],"['spotify:playlist:1eMg013gmqszs9XHI6SKRi', 'spotify:playlist:1Tpfpg8ZOhf427gwAjcYE1']"
91632,Little of Your Love - BloodPop® Remix,"['HAIM', 'BloodPop®']",spotify:track:67M8Sg4R7bEidOf0cag0Ld,34,single,True,2017-08-09,"['spotify:artist:4Ui2kfOqGujY81UcPrb5KE', 'spotify:artist:1okJ4NC308qbtY9LyHn6DO']",['spotify:playlist:4QoK49ZGUPtulhMqcUQLrJ']
258699,Killer,['Airbag'],spotify:track:4y5oWMrC6j6OhNWucCjN5y,29,album,True,2016-06-10,['spotify:artist:0gTqi1zdqD9s6islG2wLKC'],['spotify:playlist:5bHVsNZkrkVU80cDV6kjok']
93677,The Rumbling,['SiM'],spotify:track:6k0X05danQOXSBTVek5DU1,73,single,True,2022-02-07,['spotify:artist:2BM933ADIluGGrPBOhPgIt'],"['spotify:playlist:37i9dQZF1DX54Fkcz35jfT', 'spotify:playlist:37i9dQZF1DWSGR2XLfOnfo', 'spotify:playlist:17QgC1nXbRYriw6VZKUsEa', 'spotify:playlist:37i9dQZF1DX0hAXqBDwvwI', 'spotify:playlist:6eBWDk9fTNxCsDFsEsPPsE', 'spotify:playlist:37i9dQZF1DX5FZ0gGkvIRf', 'spotify:playlist:37i9dQZF1DX6XceWZP1znY']"
76401,Mario Fever,['Mipsick'],spotify:track:0dmVC3XxZzxqeBxGF3cRnn,29,single,True,2021-07-16,['spotify:artist:7ysUAzUBgOC4KPXklQO3bG'],['spotify:playlist:61DHJ4jOaseGnu4f0h27zL']
211791,West Side Lane,['Lost Years'],spotify:track:5839pJyWGLJ2Z9vzTDKG0L,38,album,True,2012-12-19,['spotify:artist:04an0WtFSvVqQkGrgIxq1Y'],['spotify:playlist:4LMeZUkOHv8h75PQL9gJlZ']
142799,"Dream, Fam!",['Futurebirds'],spotify:track:0K1iJzV3TDa1BIfbzUVIEV,20,album,True,2020-01-15,['spotify:artist:4Ait1vX2ZaWPrkua8Z664O'],['spotify:playlist:2qWymYHx0NLm5vVBgkrDE4']
273983,Beautiful Love,['Sophie Milman'],spotify:track:4vrdSRSPdwRPjeLL5iqb3p,43,album,True,2009-05-05,['spotify:artist:19GI8I4UhSpBl8Y9XpKyT4'],['spotify:playlist:37i9dQZF1DWWzPwswRwMiK']
29218,ocean floor,['mommy'],spotify:track:5TqmsQwyYox0D7XHLQJzMM,42,album,True,2018-03-13,['spotify:artist:0DJoMHFNyxWdoGqi8XMdfk'],['spotify:playlist:0zh0yakV3wwA69ISW2g1KL']
111479,Wondering,['Gianluca Pavan'],spotify:track:0sBJ7Bx78tOQwySUlww7jK,0,single,True,2021-02-23,['spotify:artist:13pBnyY8vHvnSeBrWCIpLb'],['spotify:playlist:0MO6ha8cacWlhu8gsANBt6']
101531,Outsiders at the Inn,"['Ryan Roth', 'Halina Heron']",spotify:track:5SCGNXCLKWcACSh8wE8oAV,22,album,True,2016-03-10,"['spotify:artist:73NO9p8azKTCden45dGclA', 'spotify:artist:2KInh2r0ggX4SmQBkFaw6d']",['spotify:playlist:2Mpg5bBOzBKFrPuper3DiA']
224986,Cotton States Rag (Live),['Tom Brier'],spotify:track:6BL4OSThTS8IQWC3cC4HQR,10,album,True,2015-10-29,['spotify:artist:1MS1jbrxtz1iQg1Gl0z7kL'],['spotify:playlist:4Dfe6YgDQtGYFSXGQPVy8a']
220466,Supreme,['Ratatat'],spotify:track:6t2464QjKQWSOx6qi1oOgK,29,album,True,2015-07-17,['spotify:artist:57dN52uHvrHOxijzpIgu3E'],"['spotify:playlist:1gr1ZY3XGGzWitHaaDUmwv', 'spotify:playlist:3ZsLD4E7ULFOmv4elTBw9f']"
188808,What Child Is This? (with Percy Faith & His Orchestra),['Johnny Mathis'],spotify:track:5pHVGMJY8zuukdIAPpT1vj,33,album,True,1958-10-06,['spotify:artist:21LGsW7bziR4Ledx7WZ1Wf'],['spotify:playlist:1cSe1tbdYYYnyoP93yJlRA']
124054,102 Dalmatians - Storyteller Version,['Peter Dennis'],spotify:track:1VaXlWV3IFtWNE19jxjyoE,28,single,True,2004-01-01,['spotify:artist:5DTxNEqLerM2V2oMzcAlNX'],"['spotify:playlist:1Yeg0iguRAurdQLMdZftKE', 'spotify:playlist:5QIEmVxbsCqPYcjcuujvkY']"
262031,When You Need It (feat. Wrabel),['Tenille Townes'],spotify:track:6be7birJOF85i9dL0wUrBg,44,album,True,2022-04-22,['spotify:artist:3TyeX0lk4B7k56ukfzEE0z'],['spotify:playlist:37i9dQZF1DWTyjRnMgESue']
100981,Lasting Lover,['Sigala'],spotify:track:3jndxeT5u3nLk8xeInW6pa,28,single,True,2020-09-11,['spotify:artist:1IueXOQyABrMOprrzwQJWN'],['spotify:playlist:62msWWOOAvnhyRL20bYVjc']
237100,Salas,['Little Symphony'],spotify:track:11fFu5kxsE98r5SYKLKUAB,39,album,True,2020-04-15,['spotify:artist:4SCWiQbJCMTHK737aNUqBJ'],"['spotify:playlist:4HTBQhKq1is4dO1vcNKtyC', 'spotify:playlist:3NeZxd0WysIXbA7Fes9Ho0']"
32848,Gregorian Chant: Celticus (Celtic Chant) Reprise,['Gregorian Chant for Meditation'],spotify:track:3Ukz0LpIZxSbyAZEQQwu3J,35,album,True,2009-04-29,['spotify:artist:5gjuOenEDPreIWWnofLJRG'],"['spotify:playlist:5atQRrNsmx1XQhqAUrBU8f', 'spotify:playlist:4dg8wndqLQ1XuWY9p5l52d']"
