id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
16222,Whispers In The Dark,['Yanni'],spotify:track:4FYQpXomAdYJ93jblGWdtG,40,album,True,1993,['spotify:artist:72qxDp6R6v22pai96pZioz'],['spotify:playlist:4yJtMYMgcxTGw3gUHAVhNl']
160832,Offshore,['Armin van Buuren'],spotify:track:6ZS9A0sQyiGOFcUPjL57NI,34,album,True,2022-06-10,['spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5'],['spotify:playlist:4wM86bbXb5U6IxOAXh5Wev']
174582,フレア,['Superfly'],spotify:track:6ticgZxVwwP3naFwq9mPsZ,33,single,True,2019-11-01,['spotify:artist:5M8AXrOifBT8elkLKbGPQZ'],['spotify:playlist:2s3wTM8U5NsgfY21V78J11']
130631,"Oratorio pour le couronnement des princes souverains de toute la chrétienté: No. 3, Moderato religioso","['Jean François Lesueur', 'Christoph Spering', 'Chorus Musicus Das Neue Orchester']",spotify:track:74P71aP4zO8RDUOMOHYuhI,14,album,True,1993-01-01,"['spotify:artist:3EOe6vbPs69MzWTKn0NJjL', 'spotify:artist:0h5jLgS6vlq0dnBLt839X2', 'spotify:artist:07URz5OypyJEnrSrXVbBJJ']",['spotify:playlist:4ZN1fbXWdFVdPT5dVEMEjR']
199128,Good God,['Cade Thompson'],spotify:track:2qgYWwsLHakKwgR6CLArfy,47,single,True,2023-02-24,['spotify:artist:0Rta8FGUn7TLTsFiumWoC4'],['spotify:playlist:0aRA35IuEqBfUfjiZtVJ5M']
196975,Creation of Reality,['Sinbreed'],spotify:track:2hXRz59Vjpj97yeF1z891D,2,single,True,2016-01-13,['spotify:artist:0pB5DhUgBouH1tLYSEKmMX'],['spotify:playlist:7bZM6Vn9MfBISk1gAay9pE']
140638,Driving,['Brian Regan'],spotify:track:5XSp2fQ61yjtzHDEAtd4RZ,0,album,True,2016-02-16,['spotify:artist:566AijAv3pxSbRYM0kgyYf'],['spotify:playlist:6nlhYPuWuTI2qnv6hC2WpZ']
132390,"Dowland: Consort Lessons, Book 1: Captaine Piper's Pavan and Galliard",['David Munrow'],spotify:track:4LjqX21ukGkquvGE4qwdT4,2,album,True,2006-04-17,['spotify:artist:3g42bvWbvi723weXdEiROz'],['spotify:playlist:7dfEaf8JwEuUu9JEjC3LaK']
75267,Love Come Down - Single Version,"['Evelyn ""Champagne"" King']",spotify:track:2RCOWNCxDIphjhqTtkwtwR,54,compilation,True,1990-04-09,['spotify:artist:4JCt4xrbbBB9blkKwNlcJ7'],['spotify:playlist:1tvBTMHfGCD7RLY7tqc75G']
20849,Hymn for the Weekend,['Coldplay'],spotify:track:3RiPr603aXAoi4GHyXx0uy,82,album,True,2015-12-04,['spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'],"['spotify:playlist:37i9dQZF1DWWCk4v3ohhHQ', 'spotify:playlist:0fdl8h0EC9am1ykTD1t36i', 'spotify:playlist:3EgWpevnsVkDz3cgWpS7hv', 'spotify:playlist:4BqUbsjanchoIYCBCfVBQB', 'spotify:playlist:2h4wEwQR3Jox8zBohnG2Y4', 'spotify:playlist:3Y1kOV8D98YpYykBfrggcf', 'spotify:playlist:6xHyFfcew7WC7yYAC798Kg', 'spotify:playlist:5ZcNolG8B2BXbyipxT9YRy', 'spotify:playlist:5jUY862jO8SpNnWUUPQwtK', 'spotify:playlist:1WtIeVj2pcNX6c75joDhT1', 'spotify:playlist:5YnieTy1QVmyHGiq0D6h7w', 'spotify:playlist:3BpbQroVKZeu7JgFS7ylcf', 'spotify:playlist:29u9TySXb40AsmN7x82qPz', 'spotify:playlist:3CbbyUCHvYySyQaWHYP7mL', 'spotify:playlist:5bUVfzb5rek5uCBbpuDfBU', 'spotify:playlist:3cccSX9qfdGUkNO3zY1blJ', 'spotify:playlist:2cXAvcqfqVLJK7IPiPvEQe', 'spotify:playlist:2PMbTTA1MxjN2Aub07AUBR', 'spotify:playlist:37i9dQZF1DXcfJb5A3855D', 'spotify:playlist:1bjpETNiJZj9HVIm513cF9', 'spotify:playlist:37i9dQZF1DX1ngEVM0lKrb', 'spotify:playlist:2NzJVFMSX908u7jvREw9S7']"
